rank,primary_isbn13,publisher,title,category,pub_date,Amazon Product ID,Amazon Price,Amazon Rating,Amazon Rating Total
1,9780525559474,Viking,THE MIDNIGHT LIBRARY,Hardcover Fiction,2022-02-02,0525559477,13.29,4.3,132597.0
8,9780310330912,Zondervan,AMERICA THE BEAUTIFUL,Combined Print Nonfiction,2022-02-02,0310330912,11.98,4.8,3797.0
20,9781400064168,Random House,UNBROKEN,Combined Print Nonfiction,2022-02-02,B004CJN7TG,0.0,4.8,32696.0
19,9781451674774,Gallery,I'LL SEE YOU AGAIN,Combined Print Nonfiction,2022-02-02,B00C1LBXB6,0.0,4.7,711.0
18,9780374533557,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW",Combined Print Nonfiction,2022-02-02,0374533555,11.29,4.6,22638.0
17,9781476703541,Howard,DUCK COMMANDERS,Combined Print Nonfiction,2022-02-02,B009NOT8N4,0.0,4.8,2245.0
16,9780393081572,Norton,GULP,Combined Print Nonfiction,2022-02-02,B00BZ5QPKI,0.0,4.5,1653.0
15,9781594204807,Penguin Press,WAY OF THE KNIFE,Combined Print Nonfiction,2022-02-02,014312501X,13.99,4.4,508.0
14,9780307957139,Knopf,THE NEW DIGITAL AGE,Combined Print Nonfiction,2022-02-02,0307957136,14.95,3.9,327.0
13,9780307352156,Broadway,QUIET,Combined Print Nonfiction,2022-02-02,0307352153,7.73,4.6,16472.0
12,9781401943417,Hay House,MY NEXT STEP,Combined Print Nonfiction,2022-02-02,1401943411,10.77,4.1,45.0
11,9780062238863,Harper,AMERICAN SNIPER,Combined Print Nonfiction,2022-02-02,B006ST49K4,0.0,4.7,18623.0
10,9781476706412,Simon & Schuster,CARRIE AND ME,Combined Print Nonfiction,2022-02-02,B00BS8NHAS,0.0,4.5,308.0
9,9781568586717,Nation,DIRTY WARS,Combined Print Nonfiction,2022-02-02,B00C7WQBZW,0.0,4.4,627.0
7,9781476711874,Howard,WAKING UP IN HEAVEN,Combined Print Nonfiction,2022-02-02,1476711879,16.99,4.5,1137.0
1,9780593230572,One World,THE 1619 PROJECT,Hardcover Nonfiction,2022-02-02,0593230574,22.8,4.8,4018.0
6,9781250024978,St. Martin's,TRIDENT K9 WARRIORS,Combined Print Nonfiction,2022-02-02,1250024978,28.85,4.6,697.0
5,9780307476074,Vintage,WILD,Combined Print Nonfiction,2022-02-02,B01NCT5R2J,34.99,4.7,5.0
4,9781594204210,Penguin Press,COOKED,Combined Print Nonfiction,2022-02-02,B00BMBATXY,0.0,4.6,1178.0
3,9781451695199,Simon & Schuster,PROOF OF HEAVEN,Combined Print Nonfiction,2022-02-02,1451695195,10.49,4.4,16017.0
2,9780385349949,Knopf,LEAN IN,Combined Print Nonfiction,2022-02-02,0385349947,12.6,4.5,7504.0
1,9780316154697,"Little, Brown",LET'S EXPLORE DIABETES WITH OWLS,Combined Print Nonfiction,2022-02-02,B00C6K1BK0,0.0,4.4,2549.0
20,9781594488399,Riverhead,THE INTERESTINGS,Combined Print Fiction,2022-02-02,B00BMBAK9M,0.0,3.7,2604.0
19,9781455523153,Grand Central,THE FORGOTTEN,Combined Print Fiction,2022-02-02,9123978724,59.98,4.8,9.0
18,9780345541338,Dell,CALICO JOE,Combined Print Fiction,2022-02-02,B0067AN0VI,6.99,4.4,5490.0
17,9781250010070,St. Martin's,DON'T GO,Combined Print Fiction,2022-02-02,B008BU6THE,4.99,4.4,1249.0
16,9780399159091,Putnam,THE MYSTERY WOMAN,Combined Print Fiction,2022-02-02,B00AFPVQK8,8.99,4.5,798.0
15,9781400067688,Random House,THE BURGESS BOYS,Combined Print Fiction,2022-02-02,1400067685,9.72,4.1,3083.0
15,9780385538923,Doubleday,THE SLEEPWALKER,E-Book Fiction,2022-02-02,B01FPGY5TK,11.99,4.3,1008.0
14,9781429960274,Forge,A DOG'S PURPOSE,E-Book Fiction,2022-02-02,0765388111,10.0,4.8,9122.0
13,9781250105615,Flatiron,THE DRY,E-Book Fiction,2022-02-02,B01BSN15F6,9.99,4.4,13201.0
12,9780316407168,"Little, Brown",CROSS THE LINE,E-Book Fiction,2022-02-02,B01C37XEUU,9.99,4.6,5037.0
3,9780062892355,Harper,THE BETRAYAL OF ANNE FRANK,Hardcover Nonfiction,2022-02-02,0062892355,18.48,4.1,129.0
4,9780063209787,Harper,UNTHINKABLE,Hardcover Nonfiction,2022-02-02,0063209780,18.79,4.8,948.0
5,9780593139134,Crown,GREENLIGHTS,Hardcover Nonfiction,2022-02-02,B08HLW2JXD,0.0,4.7,50291.0
6,9781984877925,Penguin Press,WILL,Hardcover Nonfiction,2022-02-02,1984877925,18.68,4.8,8914.0
7,9780525657743,Knopf,CRYING IN H MART,Hardcover Nonfiction,2022-02-02,0525657746,15.95,4.5,5848.0
8,9780063076099,Dey Street,THE STORYTELLER,Hardcover Nonfiction,2022-02-02,B091WVM1JD,0.0,4.8,10649.0
9,9781984801258,Dial,UNTAMED,Hardcover Nonfiction,2022-02-02,1984801252,16.47,4.6,48787.0
10,9781982132118,Atria,BLOOD IN THE GARDEN,Hardcover Nonfiction,2022-02-02,1982132116,19.57,4.8,66.0
11,9781982168018,Gallery,TASTE,Hardcover Nonfiction,2022-02-02,1982168013,14.0,4.7,3116.0
12,9781510766808,Skyhorse,THE REAL ANTHONY FAUCI,Hardcover Nonfiction,2022-02-02,1510766804,19.89,4.8,9962.0
13,9781637630594,Forefront,THE GREAT RESET,Hardcover Nonfiction,2022-02-02,B09MJ3FZXS,14.99,4.6,454.0
14,9781982173760,Simon & Schuster,JUST PURSUIT,Hardcover Nonfiction,2022-02-02,1982173769,18.99,4.6,67.0
15,9781984878106,Viking,THINK AGAIN,Hardcover Nonfiction,2022-02-02,1984878107,16.75,4.6,8092.0
10,9780698188365,Blue Rider,THE PRINCESS DIARIST,E-Book Nonfiction,2022-02-02,B01AAXYD54,0.0,4.4,2982.0
2,9780440337973,Dial,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,E-Book Fiction,2022-02-02,B0015DWJX2,11.99,4.7,12903.0
3,9780385541206,Doubleday,THE WHISTLER,E-Book Fiction,2022-02-02,B01C1LUFFK,9.99,4.4,19195.0
4,9781101984772,Dutton,RING OF FIRE,E-Book Fiction,2022-02-02,B01DTSGF30,9.99,4.7,806.0
5,9780345544964,Ballantine,SMALL GREAT THINGS,E-Book Fiction,2022-02-02,0345544978,13.58,4.7,20928.0
7,9781476738031,Atria,A MAN CALLED OVE,E-Book Fiction,2022-02-02,1476738025,7.63,4.6,41771.0
8,9780425285350,Delacorte,THE MISTRESS,E-Book Fiction,2022-02-02,B01E2GZ5FC,6.99,4.5,2652.0
9,9780698193000,Berkley,THE GUESTS ON SOUTH BATTERY,E-Book Fiction,2022-02-02,B01E4WAFW2,11.99,4.7,1423.0
10,9781455586493,Grand Central,NO MAN'S LAND,E-Book Fiction,2022-02-02,B01FQLZS1S,9.99,4.6,8369.0
11,9780399574184,Putnam,BELOW THE BELT,E-Book Fiction,2022-02-02,B01E4WAFFO,9.99,4.5,1365.0
14,9781455526956,Grand Central,THE BLACK BOX,Combined Print Fiction,2022-02-02,B0076DELIG,11.99,4.5,7461.0
13,9780345803481,Vintage,FIFTY SHADES OF GREY,Combined Print Fiction,2022-02-02,B007R07BK8,0.0,4.0,56993.0
12,9780307346612,Broadway,WORLD WAR Z,Combined Print Fiction,2022-02-02,B00BIK73QA,0.0,4.4,7675.0
15,9780374715144,"Farrar, Straus & Giroux",THANK YOU FOR BEING LATE,E-Book Nonfiction,2022-02-02,B01M6Y5Y66,0.0,4.6,2107.0
14,9781101886977,Ballantine,TROUBLEMAKER,E-Book Nonfiction,2022-02-02,B01604H1DI,0.0,4.7,7852.0
13,9780399588181,Spiegel & Grau,BORN A CRIME,E-Book Nonfiction,2022-02-02,B01IW9TM5O,0.0,4.8,40925.0
12,9780718081539,W Publishing/Thomas Nelson,THE MAGNOLIA STORY,E-Book Nonfiction,2022-02-02,B01DFBXA8O,0.0,4.8,9951.0
11,9781101200858,Penguin,ALEXANDER HAMILTON,E-Book Nonfiction,2022-02-02,B0007OB58A,0.0,4.8,17866.0
