rank,primary_isbn13,publisher,title,author,category,pub_date
1,9780525559474,Viking,THE MIDNIGHT LIBRARY,Matt Haig,Hardcover Fiction,2022-02-02
8,9780310330912,Zondervan,AMERICA THE BEAUTIFUL,Ben C Carson and Candy Carson,Combined Print Nonfiction,2022-02-02
20,9781400064168,Random House,UNBROKEN,Laura Hillenbrand,Combined Print Nonfiction,2022-02-02
19,9781451674774,Gallery,I'LL SEE YOU AGAIN,Jackie Hance with Janice Kaplan,Combined Print Nonfiction,2022-02-02
18,9780374533557,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW",Daniel Kahneman,Combined Print Nonfiction,2022-02-02
17,9781476703541,Howard,DUCK COMMANDERS,Willie and Korie Robertson with Mark Schlabach,Combined Print Nonfiction,2022-02-02
16,9780393081572,Norton,GULP,Mary Roach,Combined Print Nonfiction,2022-02-02
15,9781594204807,Penguin Press,WAY OF THE KNIFE,Mark Mazzetti,Combined Print Nonfiction,2022-02-02
14,9780307957139,Knopf,THE NEW DIGITAL AGE,Eric Schmidt and Jared Cohen,Combined Print Nonfiction,2022-02-02
13,9780307352156,Broadway,QUIET,Susan Cain,Combined Print Nonfiction,2022-02-02
12,9781401943417,Hay House,MY NEXT STEP,Dave Liniger with Laura Morton,Combined Print Nonfiction,2022-02-02
11,9780062238863,Harper,AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Combined Print Nonfiction,2022-02-02
10,9781476706412,Simon & Schuster,CARRIE AND ME,Carol Burnett,Combined Print Nonfiction,2022-02-02
9,9781568586717,Nation,DIRTY WARS,Jeremy Scahill,Combined Print Nonfiction,2022-02-02
7,9781476711874,Howard,WAKING UP IN HEAVEN,Crystal McVea,Combined Print Nonfiction,2022-02-02
1,9780593230572,One World,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",Hardcover Nonfiction,2022-02-02
6,9781250024978,St. Martin's,TRIDENT K9 WARRIORS,Michael Ritland with Gary Brozek,Combined Print Nonfiction,2022-02-02
5,9780307476074,Vintage,WILD,Cheryl Strayed,Combined Print Nonfiction,2022-02-02
4,9781594204210,Penguin Press,COOKED,Michael Pollan,Combined Print Nonfiction,2022-02-02
3,9781451695199,Simon & Schuster,PROOF OF HEAVEN,Eben Alexander,Combined Print Nonfiction,2022-02-02
2,9780385349949,Knopf,LEAN IN,Sheryl Sandberg with Nell Scovell,Combined Print Nonfiction,2022-02-02
1,9780316154697,"Little, Brown",LET'S EXPLORE DIABETES WITH OWLS,David Sedaris,Combined Print Nonfiction,2022-02-02
20,9781594488399,Riverhead,THE INTERESTINGS,Meg Wolitzer,Combined Print Fiction,2022-02-02
19,9781455523153,Grand Central,THE FORGOTTEN,David Baldacci,Combined Print Fiction,2022-02-02
18,9780345541338,Dell,CALICO JOE,John Grisham,Combined Print Fiction,2022-02-02
17,9781250010070,St. Martin's,DON'T GO,Lisa Scottoline,Combined Print Fiction,2022-02-02
