Title,Author,Book Subcategory,NYT Ranking,Amz Star ratings,Total_num_of_rating,Amazon Price,ISBN,Publisher,NYT Pub Date,Amazon Product ID
TASTE,Stanley Tucci,Hardcover Nonfiction,11,4.7,3118.0,14.0,9781982168018,Gallery,2022-02-06,1982168013
THE STRANGER IN THE LIFEBOAT,Mitch Albom,Hardcover Fiction,8,4.6,9966.0,15.07,9780062888341,Harper,2022-02-06,006288834X
TO PARADISE,Hanya Yanagihara,Hardcover Fiction,10,4.2,204.0,14.99,9780385547932,Doubleday,2022-02-06,B091XWH5T2
CALL US WHAT WE CARRY,Amanda Gorman,Hardcover Fiction,11,4.9,1794.0,14.53,9780593465066,Viking,2022-02-06,0593465067
CLOUD CUCKOO LAND,Anthony Doerr,Hardcover Fiction,12,4.5,8792.0,15.99,9781982168438,Scribner,2022-02-06,B08TRMSR3Z
THE WISH,Nicholas Sparks,Hardcover Fiction,14,4.7,20127.0,14.99,9781538728628,Grand Central,2022-02-06,B08RYQDKP2
GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Hardcover Fiction,15,4.7,25138.0,15.99,9781101885680,Delacorte,2022-02-06,B0925FP6G6
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",Hardcover Nonfiction,1,4.8,4021.0,22.8,9780593230572,One World,2022-02-06,0593230574
ENOUGH ALREADY,Valerie Bertinelli,Hardcover Nonfiction,2,4.6,669.0,16.29,9780358567363,Harvest,2022-02-06,035856736X
THE BETRAYAL OF ANNE FRANK,Rosemary Sullivan,Hardcover Nonfiction,3,4.1,131.0,18.48,9780062892355,Harper,2022-02-06,0062892355
UNTHINKABLE,Jamie Raskin,Hardcover Nonfiction,4,4.8,951.0,18.79,9780063209787,Harper,2022-02-06,0063209780
GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,5,4.7,50291.0,0.0,9780593139134,Crown,2022-02-06,B08HLW2JXD
WILL,Will Smith with Mark Manson,Hardcover Nonfiction,6,4.8,8916.0,18.68,9781984877925,Penguin Press,2022-02-06,1984877925
CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,7,4.5,5848.0,15.95,9780525657743,Knopf,2022-02-06,0525657746
THE STORYTELLER,Dave Grohl,Hardcover Nonfiction,8,4.8,10653.0,0.0,9780063076099,Dey Street,2022-02-06,B091WVM1JD
UNTAMED,Glennon Doyle,Hardcover Nonfiction,9,4.6,48785.0,16.47,9781984801258,Dial,2022-02-06,1984801252
BLOOD IN THE GARDEN,Chris Herring,Hardcover Nonfiction,10,4.8,66.0,19.57,9781982132118,Atria,2022-02-06,1982132116
THE REAL ANTHONY FAUCI,Robert F. Kennedy Jr,Hardcover Nonfiction,12,4.8,9972.0,19.89,9781510766808,Skyhorse,2022-02-06,1510766804
THE GREAT RESET,Glenn Beck with Justin Haskins,Hardcover Nonfiction,13,4.6,458.0,14.99,9781637630594,Forefront,2022-02-06,B09MJ3FZXS
JUST PURSUIT,Laura Coates,Hardcover Nonfiction,14,4.6,68.0,18.99,9781982173760,Simon & Schuster,2022-02-06,1982173769
THINK AGAIN,Adam Grant,Hardcover Nonfiction,15,4.6,8092.0,16.75,9781984878106,Viking,2022-02-06,1984878107
WISH YOU WERE HERE,Jodi Picoult,Hardcover Fiction,9,4.4,12057.0,14.99,9781984818416,Ballantine,2022-02-06,B0925DXNV1
SOMETHING TO HIDE,Elizabeth George,Hardcover Fiction,13,4.4,2786.0,14.99,9780593296844,Viking,2022-02-06,B09284JLRF
THE JUDGE'S LIST,John Grisham,Hardcover Fiction,7,4.5,37831.0,0.0,9780385546027,Doubleday,2022-02-06,B093N8JP2B
ONE STEP TOO FAR,Lisa Gardner,Hardcover Fiction,5,4.7,1661.0,0.0,9780593185414,Dutton,2022-02-06,B09HCV6XHF
THE HORSEWOMAN,James Patterson and Mike Lupica,Hardcover Fiction,4,4.4,1954.0,14.99,9780316499774,"Little, Brown",2022-02-06,B093ZQBLZY
THE LINCOLN HIGHWAY,Amor Towles,Hardcover Fiction,3,4.4,25623.0,14.99,9780735222359,Viking,2022-02-06,B08WRH53MY
THE MAID,Nita Prose,Hardcover Fiction,2,4.3,5106.0,13.99,9780593356159,Ballantine,2022-02-06,B091Y4KGFH
THE MIDNIGHT LIBRARY,Matt Haig,Hardcover Fiction,1,4.3,132607.0,13.29,9780525559474,Viking,2022-02-06,0525559477
THE LAST THING HE TOLD ME,Laura Dave,Hardcover Fiction,6,4.3,67771.0,13.5,9781501171345,Simon & Schuster,2022-02-06,1501171348
I'LL SEE YOU AGAIN,Jackie Hance with Janice Kaplan,Combined Print Nonfiction,19,4.7,711.0,0.0,9781451674774,Gallery,2022-02-02,B00C1LBXB6
PROOF OF HEAVEN,Eben Alexander,Combined Print Nonfiction,3,4.4,16016.0,10.49,9781451695199,Simon & Schuster,2022-02-02,1451695195
DUCK COMMANDERS,Willie and Korie Robertson with Mark Schlabach,Combined Print Nonfiction,17,4.8,2245.0,0.0,9781476703541,Howard,2022-02-02,B009NOT8N4
"THINKING, FAST AND SLOW",Daniel Kahneman,Combined Print Nonfiction,18,4.6,22639.0,11.29,9780374533557,"Farrar, Straus & Giroux",2022-02-02,0374533555
A DOG'S PURPOSE,W Bruce Cameron,E-Book Fiction,14,4.9,14707.0,13.55,9781429960274,Forge,2022-02-02,145217380X
UNBROKEN,Laura Hillenbrand,Combined Print Nonfiction,20,4.8,32695.0,0.0,9781400064168,Random House,2022-02-02,B004CJN7TG
THE SLEEPWALKER,Chris Bohjalian,E-Book Fiction,15,4.3,1008.0,11.99,9780385538923,Doubleday,2022-02-02,B01FPGY5TK
WILD,Cheryl Strayed,Combined Print Nonfiction,5,4.7,5.0,34.99,9780307476074,Vintage,2022-02-02,B01NCT5R2J
THE DRY,Jane Harper,E-Book Fiction,13,4.4,13201.0,9.99,9781250105615,Flatiron,2022-02-02,B01BSN15F6
CROSS THE LINE,James Patterson,E-Book Fiction,12,4.6,5037.0,9.99,9780316407168,"Little, Brown",2022-02-02,B01C37XEUU
COOKED,Michael Pollan,Combined Print Nonfiction,4,4.6,1178.0,0.0,9781594204210,Penguin Press,2022-02-02,B00BMBATXY
AMERICA THE BEAUTIFUL,Ben C Carson and Candy Carson,Combined Print Nonfiction,8,4.8,3797.0,13.0,9780310330912,Zondervan,2022-02-02,0310330912
TRIDENT K9 WARRIORS,Michael Ritland with Gary Brozek,Combined Print Nonfiction,6,4.6,697.0,28.85,9781250024978,St. Martin's,2022-02-02,1250024978
GULP,Mary Roach,Combined Print Nonfiction,16,4.5,1653.0,0.0,9780393081572,Norton,2022-02-02,B00BZ5QPKI
WAKING UP IN HEAVEN,Crystal McVea,Combined Print Nonfiction,7,4.5,1137.0,16.99,9781476711874,Howard,2022-02-02,1476711879
DIRTY WARS,Jeremy Scahill,Combined Print Nonfiction,9,4.4,627.0,0.0,9781568586717,Nation,2022-02-02,B00C7WQBZW
CARRIE AND ME,Carol Burnett,Combined Print Nonfiction,10,4.5,308.0,0.0,9781476706412,Simon & Schuster,2022-02-02,B00BS8NHAS
AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice,Combined Print Nonfiction,11,4.7,18623.0,0.0,9780062238863,Harper,2022-02-02,B006ST49K4
MY NEXT STEP,Dave Liniger with Laura Morton,Combined Print Nonfiction,12,4.1,45.0,9.53,9781401943417,Hay House,2022-02-02,1401943411
