rank,title,author,category,primary_isbn13,publisher,pub_date,amazon_product_url
1,FULL PACKAGE,Lauren Blakely,e-Book-fiction,A00B01MT5HMRV,Lauren Blakely,current,https://www.amazon.com/Full-Package-Lauren-Blakely-ebook/dp/B01MT5HMRV?tag=NYTBSREV-20
2,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,e-Book-fiction,9780440337973,Dial,current,http://www.amazon.com/Guernsey-Literary-Potato-Peel-Society/dp/0385340990?tag=NYTBSREV-20
3,THE WHISTLER,John Grisham,e-Book-fiction,9780385541206,Doubleday,current,https://www.amazon.com/Whistler-John-Grisham-ebook/dp/B01C1LUFFK?tag=NYTBSREV-20
4,RING OF FIRE,Brad Taylor,e-Book-fiction,9781101984772,Dutton,current,https://www.amazon.com/Ring-Fire-Pike-Logan-Thriller/dp/1101984767?tag=NYTBSREV-20
5,SMALL GREAT THINGS,Jodi Picoult,e-Book-fiction,9780345544964,Ballantine,current,http://www.amazon.com/Small-Great-Things-Jodi-Picoult-ebook/dp/B01AQNYZ3I?tag=NYTBSREV-20
6,SHELTER FOR ADELINE,Susan Stoker,e-Book-fiction,A00B01MF62CN8,Stoker Aces Production,current,https://www.amazon.com/Shelter-Adeline-Badge-Honor-Heroes-ebook/dp/B01MF62CN8?tag=NYTBSREV-20
7,A MAN CALLED OVE,Fredrik Backman,e-Book-fiction,9781476738031,Atria,current,http://www.amazon.com/Man-Called-Ove-Novel/dp/1476738025?tag=NYTBSREV-20
8,THE MISTRESS,Danielle Steel,e-Book-fiction,9780425285350,Delacorte,current,https://www.amazon.com/Mistress-Novel-Danielle-Steel-ebook/dp/B01E2GZ5FC?tag=NYTBSREV-20
9,THE GUESTS ON SOUTH BATTERY,Karen White,e-Book-fiction,9780698193000,Berkley,current,https://www.amazon.com/Guests-South-Battery-Tradd-Street/dp/0451475232?tag=NYTBSREV-20
10,NO MAN'S LAND,David Baldacci,e-Book-fiction,9781455586493,Grand Central,current,https://www.amazon.com/No-Mans-Land-John-Puller/dp/145558651X?tag=NYTBSREV-20
11,BELOW THE BELT,Stuart Woods,e-Book-fiction,9780399574184,Putnam,current,https://www.amazon.com/Below-Belt-Stone-Barrington-Novel/dp/0399573976?tag=NYTBSREV-20
12,CROSS THE LINE,James Patterson,e-Book-fiction,9780316407168,"Little, Brown",current,https://www.amazon.com/Cross-Line-James-Patterson-ebook/dp/B01C37XEUU?tag=NYTBSREV-20
13,THE DRY,Jane Harper,e-Book-fiction,9781250105615,Flatiron,current,https://www.amazon.com/Dry-Novel-Jane-Harper-ebook/dp/B01BSN15F6?tag=NYTBSREV-20
14,A DOG'S PURPOSE,W Bruce Cameron,e-Book-fiction,9781429960274,Forge,current,https://www.amazon.com/Dogs-Purpose-Novel-Humans/dp/0765330342?tag=NYTBSREV-20
15,THE SLEEPWALKER,Chris Bohjalian,e-Book-fiction,9780385538923,Doubleday,current,https://www.amazon.com/Sleepwalker-Novel-Chris-Bohjalian-ebook/dp/B01FPGY5TK?tag=NYTBSREV-20
